station;station_name;lat;lon;alt;year;month;oni;enso_phase;tmean;tmax;tmin;prec_mm;raindays;pmax24_mm;conc;nValidT;nValidP
A521;BELO HORIZONTE - PAMPULHA;-19,88388888;-43,96944443;854,02;2006;10;0.77;EN_weakmod;NaN;NaN;NaN;NaN;NaN;NaN;;21;21
A521;BELO HORIZONTE - PAMPULHA;-19,88388888;-43,96944443;854,02;2006;11;0.94;EN_weakmod;NaN;NaN;NaN;NaN;NaN;NaN;;30;30
A521;BELO HORIZONTE - PAMPULHA;-19,88388888;-43,96944443;854,02;2006;12;0.94;EN_weakmod;NaN;NaN;NaN;NaN;NaN;NaN;;30;30
A521;BELO HORIZONTE - PAMPULHA;-19,88388888;-43,96944443;854,02;2007;01;0.66;EN_weakmod;22.53;27.39;19.29;309.2;17;59.8;0.193;31;25
A521;BELO HORIZONTE - PAMPULHA;-19,88388888;-43,96944443;854,02;2007;02;0.22;neutral;22.6;27.99;19.2;144;13;37.6;0.261;28;28
A521;BELO HORIZONTE - PAMPULHA;-19,88388888;-43,96944443;854,02;2007;03;-0.12;neutral;23.98;29.59;19.42;178.2;5;81.6;0.458;31;31
A521;BELO HORIZONTE - PAMPULHA;-19,88388888;-43,96944443;854,02;2007;04;-0.32;neutral;22.44;27.76;18.3;110;6;36.2;0.329;30;30
A521;BELO HORIZONTE - PAMPULHA;-19,88388888;-43,96944443;854,02;2007;05;-0.38;neutral;19.89;25.96;14.93;10.2;3;5.2;0.51;31;31
A521;BELO HORIZONTE - PAMPULHA;-19,88388888;-43,96944443;854,02;2007;06;-0.47;neutral;19.39;25.96;13.71;0;0;0;;30;30
A521;BELO HORIZONTE - PAMPULHA;-19,88388888;-43,96944443;854,02;2007;07;-0.56;LN;19.14;25.44;14;10;1;10;1;27;27
A521;BELO HORIZONTE - PAMPULHA;-19,88388888;-43,96944443;854,02;2007;08;-0.81;LN;20.02;26.4;14.45;0.2;0;0.2;1;31;31
A521;BELO HORIZONTE - PAMPULHA;-19,88388888;-43,96944443;854,02;2007;09;-1.07;LN;21.71;28.36;16.7;2.8;1;2;0.714;30;30
A521;BELO HORIZONTE - PAMPULHA;-19,88388888;-43,96944443;854,02;2007;10;-1.34;LN;23.68;30.45;18.6;147.6;7;82.8;0.561;31;31
A521;BELO HORIZONTE - PAMPULHA;-19,88388888;-43,96944443;854,02;2007;11;-1.5;LN;23.22;28.69;18.97;146.6;13;30.8;0.21;26;26
A521;BELO HORIZONTE - PAMPULHA;-19,88388888;-43,96944443;854,02;2007;12;-1.6;LN;23.27;29.26;18.94;325;15;67.8;0.209;31;31
A521;BELO HORIZONTE - PAMPULHA;-19,88388888;-43,96944443;854,02;2008;01;-1.64;LN;22.22;27.38;18.83;442.2;18;114;0.258;31;31
A521;BELO HORIZONTE - PAMPULHA;-19,88388888;-43,96944443;854,02;2008;02;-1.52;LN;23.21;28.55;19.37;218;11;70.6;0.324;29;29
A521;BELO HORIZONTE - PAMPULHA;-19,88388888;-43,96944443;854,02;2008;03;-1.29;LN;22.53;28.18;18.75;369.8;17;59;0.16;31;31
A521;BELO HORIZONTE - PAMPULHA;-19,88388888;-43,96944443;854,02;2008;04;-1.01;LN;22.6;28.19;18.14;164.2;9;80.8;0.492;30;30
A521;BELO HORIZONTE - PAMPULHA;-19,88388888;-43,96944443;854,02;2008;05;-0.84;LN;19.91;25.8;14.86;4.4;2;3.4;0.773;31;30
A521;BELO HORIZONTE - PAMPULHA;-19,88388888;-43,96944443;854,02;2008;06;-0.61;LN;19.56;25.82;14.77;9.6;1;9.6;1;30;30
A521;BELO HORIZONTE - PAMPULHA;-19,88388888;-43,96944443;854,02;2008;07;-0.37;neutral;18.49;25.15;12.45;0;0;0;;31;31
A521;BELO HORIZONTE - PAMPULHA;-19,88388888;-43,96944443;854,02;2008;08;-0.23;neutral;20.96;27.42;15.58;43.6;3;20.2;0.463;31;31
